"","X0DP1","X0DP2","X0DP3","X1DP1","X1DP2","X1DP3","X3DP1","X3DP2","X3DP3","X7DP1","X7DP2","X7DP3","X0DA1","X0DA2","X0DA3","X1DA1","X1DA2","X1DA3","X3DA1","X3DA2","X3DA3","X7DA1","X7DA2","X7DA3","PC1","PC2","PC3","pc1.change","pc2.change"
"20.982/1578.59832696122",18296362,16354167,16955647,23335719,22185841,21907994,25333418,21279762,23973486,25290295,22990303,23350642,8177083.5,8177083.5,8177083.5,8177083.5,8177083.5,8177083.5,8177083.5,8177083.5,8177083.5,8177083.5,8177083.5,8177083.5,-0.100645502272279,0.0304510514853526,0.00647756036420785,"DOWN","none"
"21.633/1600.45331372332",2444263,2048318,2412382,2325905,2455650,1433993,3338467,2771728,3926956,3605766,3707174,4401180,716996.5,716996.5,716996.5,716996.5,716996.5,716996.5,716996.5,716996.5,716996.5,716996.5,716996.5,716996.5,-0.117171919793285,0.0552261435245127,-0.0135544039323822,"DOWN","none"
"22.263/1622.66568616587",501969,676289,862861,749221,615121,556508,845589,684809,773097,776508,614604,988479,250984.5,250984.5,250984.5,250984.5,250984.5,250984.5,250984.5,250984.5,250984.5,250984.5,250984.5,250984.5,-0.102222367437386,0.00111698663759539,0.0033428219890768,"DOWN","none"
"22.437/1628.8005318881",2387246,2102251,2384427,2377225,2076022,2086569,2607318,2286745,2310051,2500548,2423411,2321086,1038011,1038011,1038011,1038011,1038011,1038011,1038011,1038011,1038011,1038011,1038011,1038011,-0.090742933911657,-0.0237420039684361,0.0147141673971425,"DOWN","none"
"22.813/1642.05743988556",1985930,1622157,1880685,2793948,2441280,2377546,3092483,2502260,2928194,3333551,2851864,3303068,811078.5,811078.5,811078.5,811078.5,811078.5,811078.5,811078.5,811078.5,811078.5,811078.5,811078.5,811078.5,-0.109095925775797,0.0659040721451391,-0.00284993214070935,"DOWN","none"
"23.646/1671.42713233739",1554205,1426317,1303831,1796263,1323922,1289141,1765162,1621966,1535034,2054296,1418722,2013684,644570.5,644570.5,644570.5,644570.5,644570.5,644570.5,644570.5,644570.5,644570.5,644570.5,644570.5,644570.5,-0.0956465340668725,0.0163596261147988,-0.00174414257626874,"DOWN","none"
"24.102/1687.50465905771",2940139,2531079,2589545,3170176,2854732,2932029,3543534,2999218,2757972,3644945,3272523,3769231,1265539.5,1265539.5,1265539.5,1265539.5,1265539.5,1265539.5,1265539.5,1265539.5,1265539.5,1265539.5,1265539.5,1265539.5,-0.0957610977103153,0.0216328020136518,0.00163798693274079,"DOWN","none"
"24.495/1701.40537391684",3479694,2659661,2894225,4600044,3856339,3816491,4755038,3811532,3793364,4677674,4132821,4233912,1329830.5,1329830.5,1329830.5,1329830.5,1329830.5,1329830.5,1329830.5,1329830.5,1329830.5,1329830.5,1329830.5,1329830.5,-0.1052061849912,0.0325345669241201,0.00767160030044191,"DOWN","none"
"25.163/1725.72635258137",951536,536430,520405,975938,807867,1008495,786785,823972,631484,1210186,1400957,1395138,260202.5,260202.5,260202.5,260202.5,260202.5,260202.5,260202.5,260202.5,260202.5,260202.5,260202.5,260202.5,-0.110622604916696,0.0614739713801489,-0.00783666408783844,"DOWN","none"
"25.273/1729.73130415787",830000,715000,635000,1100000,980000,1113000,1200000,990000,1180000,1050000,1170000,1939213,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,-0.109936750971959,0.0753276059458152,-0.0161501730701897,"DOWN","none"
"25.295/1730.53229447317",1240000,1050000,945000,1600000,1400000,1669500,1850000,1480000,1700000,1500000,1750000,1429169,472500,472500,472500,472500,472500,472500,472500,472500,472500,472500,472500,472500,-0.107510199263605,0.0347405379723483,0.00769824929624438,"DOWN","none"
"25.922/1753.36051845919",4270284,3364937,3102334,4743495,4680112,4853861,4824822,3957108,4549598,3605456,3318604,4019941,1551167,1551167,1551167,1551167,1551167,1551167,1551167,1551167,1551167,1551167,1551167,1551167,-0.0985596023258473,-0.02830709699296,0.0209018183872937,"DOWN","none"
"27.667/1817.692366354",1076203,832026,1203669,1959412,1804868,2262710,2123137,1964055,1985132,2352617,2150747,2013324,416013,416013,416013,416013,416013,416013,416013,416013,416013,416013,416013,416013,-0.121664832537724,0.0822850664389879,0.00400095445403011,"DOWN","none"
"28.086/1833.66887821246",1469047,1003242,1329883,1294792,1359848,1138044,1462066,1238504,1178937,1380303,1204335,1099615,501621,501621,501621,501621,501621,501621,501621,501621,501621,501621,501621,501621,-0.0964585806229685,-0.0454060086319517,0.0272528564643999,"DOWN","none"
"28.435/1846.97628307786",2255927,1776884,1807824,1982645,1730232,1883394,2538636,2197900,2086260,2703424,2261408,2485661,865116,865116,865116,865116,865116,865116,865116,865116,865116,865116,865116,865116,-0.0961824291670204,0.020662409831485,6.12143895175654e-05,"DOWN","none"
