"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"Standard deviation",8.44857073109424,1.9535894879154,1.14998759146652,0.947237533902672,0.826736943265988,0.697905122758608,0.632231004347629,0.556363937931751,0.541580547019063,0.518923211161702,0.488414265215652,0.438367757529069,0.429777122697978,0.399406872671869,0.36046697143195,0.343542914187132,0.319075788621569,0.262671231758282,0.238921931398152,0.201240583375768,0.190650169172909,0.178067509245045,0.141018306433309,8.59614979648645e-15
"Proportion of Variance",0.87865,0.04698,0.01628,0.01105,0.00841,0.006,0.00492,0.00381,0.00361,0.00331,0.00294,0.00237,0.00227,0.00196,0.0016,0.00145,0.00125,0.00085,7e-04,5e-04,0.00045,0.00039,0.00024,0
"Cumulative Proportion",0.87865,0.92563,0.94191,0.95296,0.96137,0.96737,0.97229,0.9761,0.97971,0.98302,0.98596,0.98832,0.9906,0.99256,0.99416,0.99561,0.99687,0.99772,0.99842,0.99892,0.99936,0.99976,1,1
