uniqueID,DPD0R1,DPD0R2,DPD0R3,DPD1R1,DPD1R2,DPD1R3,DPD3R1,DPD3R2,DPD3R3,DPD7R1,DPD7R2,DPD7R3,DAD0R1,DAD0R2,DAD0R3,DAD1R1,DAD1R2,DAD1R3,DAD3R1,DAD3R2,DAD3R3,DAD7R1,DAD7R2,DAD7R3
44,880000,885000,1140000,1100000,1126557,1104455,1250000,1034558,1200000,1299142,1205362,731392,0,0,0,0,0,0,0,0,0,0,0,0
45,720000,729000,930000,1035000,1130154,1030985,1540000,1074221,1500000,1361190,1226787,1886846,0,0,0,0,0,0,0,0,0,0,0,0
46,1244220,953378,1258223,1890404,1824549,1691839,2212852,1480672,1759454,2513702,2178974,2455090,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,1405669,1312119,1593891,1505715,1519871,1828662,2017463,1442791,1557441,1245752,1353070,1509517
48,18296362,16354167,16955647,23335719,22185841,21907994,25333418,21279762,23973486,25290295,22990303,23350642,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,1057184,1028631,723397,1350879,1076750,1408638,1470771,1148281,1816685,0,0,0,0,0,0,0,0,0,0,0,0
50,2444263,2048318,2412382,2325905,2455650,1433993,3338467,2771728,3926956,3605766,3707174,4401180,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,627537,560869,665967,872974,727142,777865,729186,607161,751320,632099,634259,580740
52,1947871,1660727,1763917,2974696,2550647,2832266,3445710,3007247,3236266,4313368,3842714,4328513,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,376629,328734,665974,894203,775590,674013,1228056,560830,540681,580477,660152,816013
54,501969,676289,862861,749221,615121,556508,845589,684809,773097,776508,614604,988479,0,0,0,0,0,0,0,0,0,0,0,0
55,2387246,2102251,2384427,2377225,2076022,2086569,2607318,2286745,2310051,2500548,2423411,2321086,0,0,0,0,0,0,0,0,0,0,0,0
56,1985930,1622157,1880685,2793948,2441280,2377546,3092483,2502260,2928194,3333551,2851864,3303068,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,558822,443269,714277,389709,590330,259651,235912,466863,270143,276952,277296,359501
58,0,0,0,0,0,0,819283,565697,542551,949701,596731,853221,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265347,456885,211923,0,0,0,0,0,0
60,1554205,1426317,1303831,1796263,1323922,1289141,1765162,1621966,1535034,2054296,1418722,2013684,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,1255089,1153286,1304985,1314335,1201600,1046514,1524171,1098025,1652030,0,0,0,0,0,0,0,0,0,0,0,0
62,1107281,1015455,978997,1069972,838915,867414,972466,775496,623590,1043549,589229,867270,0,0,0,0,0,0,0,0,0,0,0,0
63,2940139,2531079,2589545,3170176,2854732,2932029,3543534,2999218,2757972,3644945,3272523,3769231,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,362317,226119,469470,195609,265072,264640,287508,324244,312619,288249,306041,244209
65,0,0,0,0,0,0,450000,450000,300000,650000,600000,821387,0,0,0,0,0,0,0,0,0,0,0,0
